Timestamp,FrameCount,Delay,HeadPosX,HeadPosY,HeadPosZ,HeadRotX,HeadRotY,HeadRotZ,HeadRotW,UKFPosX,UKFPosY,UKFPosZ,UKFRotX,UKFRotY,UKFRotZ,UKFRotW,UPFPosX,UPFPosY,UPFPosZ,UPFRotX,UPFRotY,UPFRotZ,UPFRotW,FusedPosX,FusedPosY,FusedPosZ,FusedRotX,FusedRotY,FusedRotZ,FusedRotW,UKFLatency,UPFLatency,FusionLatency
15:56:01.934,22,22.58737,-0.001873236,1.522615,-0.02154152,-0.06636067,-0.01480631,0.04268622,0.9967723,-0.001943565,1.518519,-0.02173375,-1.946778E-05,0.01325118,-0.0001890594,0.9999122,-0.001945483,1.516751,-0.02148492,0.0001671893,0.01325014,0.01389564,0.9998156,-0.001944524,1.517635,-0.02160934,7.386257E-05,0.01325099,0.006853461,0.9998887,0.1232,20.0664,0.0538
15:56:01.966,23,22.61887,-0.001686816,1.523083,-0.02184203,-0.06658802,-0.01468352,0.04177715,0.9967975,-0.00177587,1.513368,-0.02205317,-1.805202E-05,0.01320624,-0.0001933218,0.9999128,-0.001772923,1.532912,-0.02201708,0.0001680838,0.01320518,0.01389987,0.9998162,-0.001774397,1.52314,-0.02203513,7.501778E-05,0.01320604,0.006853445,0.9998893,0.1351,18.7901,0.0537
15:56:01.999,24,22.65187,-0.001299741,1.523275,-0.02218755,-0.06919262,-0.01431705,0.04116512,0.9966508,-0.001418503,1.490281,-0.02293061,-1.495401E-05,0.01300478,-0.0001979244,0.9999154,-0.001488097,1.527235,-0.02169537,0.0001684607,0.0130037,0.01390442,0.9998187,-0.0014533,1.508758,-0.02231299,7.675527E-05,0.01300457,0.00685342,0.999892,0.0948,19.8291,0.0555
15:56:02.031,25,22.68437,-0.0008196075,1.523249,-0.02242005,-0.07059296,-0.01296311,0.04002637,0.9966176,-0.001059211,1.495967,-0.02280301,-1.180019E-05,0.0130544,-0.0001957825,0.9999148,-0.001127521,1.488106,-0.02170998,0.000172257,0.01305327,0.01390219,0.9998181,-0.001093366,1.492036,-0.0222565,8.02304E-05,0.01305416,0.006853376,0.9998913,0.1239,18.28,0.0475
15:56:02.064,26,22.71737,-0.0003639776,1.523272,-0.02285474,-0.06982839,-0.01197522,0.03891919,0.9967276,-0.0006366084,1.523364,-0.0230729,-8.224749E-06,0.01329347,-0.0002007427,0.9999117,-0.0006638918,1.481919,-0.02290115,0.0001793334,0.01329226,0.01390702,0.9998149,-0.0006502501,1.502641,-0.02298702,8.555646E-05,0.0132932,0.006853307,0.9998882,0.1143,18.3612,0.0555
15:56:02.096,27,22.74887,0.0006355458,1.523819,-0.02298142,-0.07199983,-0.01035846,0.03789156,0.9966308,0.000145318,1.526875,-0.02345982,-1.467068E-06,0.01332411,-0.0002052728,0.9999112,0.0001378765,1.54185,-0.0234747,0.000186641,0.0133228,0.01391136,0.9998145,0.0001415973,1.534363,-0.02346726,9.258927E-05,0.01332378,0.006853213,0.9998878,0.1033,18.8371,0.0539
15:56:02.129,28,22.78187,0.001634503,1.523661,-0.02300584,-0.07301256,-0.006821116,0.03654506,0.9966379,0.001066327,1.529604,-0.02328223,6.595374E-06,0.01334792,-0.0002030785,0.9999109,0.001061603,1.512033,-0.02276484,0.0001949774,0.0133465,0.01390894,0.9998142,0.001063965,1.520819,-0.02302353,0.0001007889,0.01334754,0.006853103,0.9998875,0.1066,19.2074,0.0532
15:56:02.162,29,22.81537,0.001991089,1.522689,-0.02311045,-0.07126598,-0.003475697,0.03565455,0.9968139,0.00163608,1.511881,-0.02309197,1.164308E-05,0.01319327,-0.0001997554,0.999913,0.001644574,1.528321,-0.02329637,0.0001977525,0.01319179,0.01390552,0.9998163,0.001640327,1.520101,-0.02319417,0.0001047004,0.01319286,0.006853054,0.9998895,0.1111,18.8948,0.0575
15:56:02.194,30,22.84737,0.001677671,1.521838,-0.02313969,-0.0652876,-0.002700268,0.03580906,0.9972202,0.00161288,1.496041,-0.02345196,1.138565E-05,0.01305505,-0.000206078,0.9999148,0.001664636,1.524114,-0.02406706,0.0001957106,0.01305359,0.01391188,0.999818,0.001638758,1.510077,-0.02375951,0.0001035507,0.01305465,0.006853072,0.9998913,0.1043,18.3966,0.0522
15:56:02.227,31,22.88037,0.001206042,1.52169,-0.02310708,-0.06225502,-0.005830218,0.03671969,0.9973676,0.001300589,1.510933,-0.02203885,8.835495E-06,0.013185,-0.0001907511,0.9999131,0.001391457,1.516695,-0.02351371,0.0001945922,0.01318356,0.0138966,0.9998165,0.001346023,1.513814,-0.02277628,0.0001017164,0.01318461,0.006853093,0.9998896,0.3563,20.6474,0.0648
